timetweet,isitweet,favcount,retwcount,id,name
2022-11-29 11:32:50,"b'Piala Dunia: Setelah Prancis, Brasil, Portugal Ke 16 Besar, Siapa Menyusul? Ini Ulasannya https://t.co/5uHskfPFVf'",0,0,1597554173418971136,ekbistangsel
2022-11-29 11:32:48,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597554163939913728,aestuffx
2022-11-29 11:32:38,b'piala dunia mung entuk hikmah \xf0\x9f\xa4\xb2',0,0,1597554123700047872,koclor_
2022-11-29 11:32:27,"b'FIFA ketat banget ngasih aturan trademark soal pildun ini. Jangankan nulis lengkap, cuma sekedar kata ""piala dunia"" aja bisa terancam berurusan sama FIFA.\n\nIni adalah bentuk dari brand assets yg dilindungi dari penggunaan yg illegal. https://t.co/BtC4QNRXwA'",16,6,1597554074454753280,belajarlagiHQ
2022-11-29 11:32:21,b'Tiket piala dunia Qatar termahal. https://t.co/G5jk05lHzn',0,0,1597554051763539968,Benidictivity
2022-11-29 11:32:15,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597554026526437377,spilloutfit4
2022-11-29 11:32:13,"b'RT @Ben3atha: Sebuah keluarga Brazil masuk Islam setelah melihat orang\xc2\xb2 Shalat, baca Al-Quran, dan perilaku baik umat Islam.\n\nKeluarga ini\xe2\x80\xa6'",0,36,1597554018741428224,Anam96Y
2022-11-29 11:32:07,"b'Jangan Lewatkan Link Live Streaming Piala Dunia Malam ini, Babak Akhir Belanda vs Qatar, Penentuan 16 Besar, Jangan Ketinggalan https://t.co/VxnY8VlvkC'",0,0,1597553991734693889,sinergia_news
2022-11-29 11:32:04,b'RT @pie_pumpkinpies: \xc2\xb0 Jersey bola piala dunia Qatar 2022 \xc2\xb0 \n\na thread https://t.co/pascMMsENP',0,14,1597553981437640704,NympadoraTonks
2022-11-29 11:31:48,b'Lebih RM3 juta dirampas judi Piala Dunia 2022\n@PDRMsia https://t.co/K3z5sJkG8Y via @myedisi9',0,0,1597553913770962944,myedisi9
